id,date,amount,category,description,type
1,05/01/2024,250,FOOD,Grocery shopping,DEBIT
2,07/01/2024,5000,SALARY,Monthly salary,CREDIT
3,10/01/2024,80,TRANSPORT,Uber ride,DEBIT
4,12/01/2024,1200,RENT,Monthly rent,DEBIT
5,15/01/2024,3000,SALARY,Freelance payment,CREDIT
6,18/01/2024,45,FOOD,Restaurant dinner,DEBIT
7,20/01/2024,500,ENTERTAINMENT,Concert tickets,DEBIT
8,22/01/2024,200,FOOD,Weekly groceries,DEBIT
9,25/01/2024,150,TRANSPORT,Monthly bus pass,DEBIT
10,28/01/2024,8000,SALARY,Bonus payment,CREDIT
11,01/02/2024,300,FOOD,Grocery shopping,DEBIT
12,03/02/2024,5000,SALARY,Monthly salary,CREDIT
13,06/02/2024,90,TRANSPORT,Taxi fare,DEBIT
14,10/02/2024,1200,RENT,Monthly rent,DEBIT
15,14/02/2024,60,ENTERTAINMENT,Movie tickets,DEBIT
16,18/02/2024,175,FOOD,Supermarket,DEBIT
17,20/02/2024,2000,SALARY,Freelance payment,CREDIT
18,23/02/2024,350,ENTERTAINMENT,Gaming subscription,DEBIT
19,25/02/2024,100,TRANSPORT,Fuel,DEBIT
20,28/02/2024,450,FOOD,Weekly groceries,DEBIT
